<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
QIWI,D,20150916,000000,1335.0000000,1087
QIWI,D,20150917,000000,1335.0000000,2273
QIWI,D,20150918,000000,1315.0000000,1753
QIWI,D,20150921,000000,1220.0000000,3700
QIWI,D,20150922,000000,1115.0000000,8103
QIWI,D,20150923,000000,1075.0000000,5110
QIWI,D,20150924,000000,1015.0000000,3225
QIWI,D,20150925,000000,1030.0000000,4838
QIWI,D,20150928,000000,995.0000000,1788
QIWI,D,20150929,000000,1025.0000000,6074
QIWI,D,20150930,000000,1065.0000000,2252
QIWI,D,20151001,000000,1025.0000000,1505
QIWI,D,20151002,000000,1060.0000000,1433
QIWI,D,20151005,000000,1140.0000000,3211
QIWI,D,20151006,000000,1180.0000000,3921
QIWI,D,20151007,000000,1180.0000000,4648
QIWI,D,20151008,000000,1165.0000000,728
QIWI,D,20151009,000000,1165.0000000,1248
QIWI,D,20151012,000000,1140.0000000,1313
QIWI,D,20151013,000000,1175.0000000,888
QIWI,D,20151014,000000,1195.0000000,1343
QIWI,D,20151015,000000,1255.0000000,1890
QIWI,D,20151016,000000,1215.0000000,1358
QIWI,D,20151019,000000,1260.0000000,1766
QIWI,D,20151020,000000,1230.0000000,906
QIWI,D,20151021,000000,1235.0000000,1866
QIWI,D,20151022,000000,1195.0000000,905
QIWI,D,20151023,000000,1200.0000000,398
QIWI,D,20151026,000000,1195.0000000,1675
QIWI,D,20151027,000000,1195.0000000,809
QIWI,D,20151028,000000,1200.0000000,1333
QIWI,D,20151029,000000,1115.0000000,4434
QIWI,D,20151030,000000,1110.0000000,12425
QIWI,D,20151102,000000,1135.0000000,4443
QIWI,D,20151103,000000,1110.0000000,4284
QIWI,D,20151105,000000,1070.0000000,1943
QIWI,D,20151106,000000,1075.0000000,3782
QIWI,D,20151109,000000,1070.0000000,1597
QIWI,D,20151110,000000,1125.0000000,4501
QIWI,D,20151111,000000,1150.0000000,7728
QIWI,D,20151112,000000,1185.0000000,9589
QIWI,D,20151113,000000,1155.0000000,14469
QIWI,D,20151116,000000,1170.0000000,2281
QIWI,D,20151117,000000,1240.0000000,3592
QIWI,D,20151118,000000,1290.0000000,5618
QIWI,D,20151119,000000,1265.0000000,5849
QIWI,D,20151120,000000,1255.0000000,1341
QIWI,D,20151123,000000,1280.0000000,3026
QIWI,D,20151124,000000,1260.0000000,7306
QIWI,D,20151125,000000,1285.0000000,1785
QIWI,D,20151126,000000,1275.0000000,1881
QIWI,D,20151127,000000,1240.0000000,876
QIWI,D,20151130,000000,1250.0000000,2841
QIWI,D,20151201,000000,1265.0000000,3799
QIWI,D,20151202,000000,1320.0000000,4468
QIWI,D,20151203,000000,1285.0000000,740
QIWI,D,20151204,000000,1275.0000000,527
QIWI,D,20151207,000000,1240.0000000,1125
QIWI,D,20151208,000000,1210.0000000,633
QIWI,D,20151209,000000,1250.0000000,316
